ID,Province_State,Date,Confirmed,Deaths,Recovered,Active,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,Testing_Rate,Hospitalization_Rate      
2522,Minnesota,06-01-2020,25208,1060,19441.0,4707.0,446.9795192310421,255592.0,3086.0,4.205014281180578,4532.068759096338,12.242145350682325
2523,Mississippi,06-01-2020,15752,739,11203.0,3810.0,529.2745759704907,176254.0,2296.0,4.691467750126968,5922.216932015163,14.57592686642966
2524,Missouri,06-01-2020,13724,776,,12948.0,223.61158452693863,199708.0,,5.654328184202857,3253.936339456854,
2525,Montana,06-01-2020,519,17,461.0,41.0,48.5601312901276,40657.0,67.0,3.2755298651252414,3804.064080660343,12.909441233140655
2526,Nebraska,06-01-2020,14345,170,,14175.0,741.5705476817714,103665.0,,1.1850819100731962,5359.003891629894,
2527,Nevada,06-01-2020,8702,417,459.0,7826.0,282.5181581712095,146783.0,,4.7920018386577805,4765.440451717381,
2528,New Hampshire,06-01-2020,4685,245,2948.0,1492.0,344.5585128016174,72456.0,451.0,5.229455709711846,5328.779424451225,9.626467449306297
2529,New Jersey,06-01-2020,160918,11723,26703.0,122492.0,1811.6928370142948,795600.0,17222.0,7.2850768714500544,8957.250407838608,10.702345293876384
2530,New Mexico,06-01-2020,7800,362,2853.0,4585.0,371.99027674645856,199604.0,1317.0,4.641025641025641,9519.326564064117,16.884615384615387
2531,New York,06-01-2020,371711,29917,66110.0,275684.0,1910.7607085407142,2113777.0,89703.0,8.04845700019639,10865.758716360464,24.132457742708716
2532,North Carolina,06-01-2020,29592,948,18860.0,9784.0,282.1487699755265,421908.0,,3.203568532035685,4022.736660003867,
2533,North Dakota,06-01-2020,2625,61,2078.0,486.0,344.4601620340602,73301.0,169.0,2.323809523809524,9618.771176098531,6.438095238095237
2534,Ohio,06-01-2020,35984,2207,,33777.0,307.8423488549161,398066.0,6112.0,6.133281458425968,3405.446099357521,16.985326811916412
2535,Oklahoma,06-01-2020,6573,334,5511.0,728.0,174.70433824255974,193273.0,986.0,5.062924924056127,4884.367360791878,14.262982786055256
2536,Oregon,06-01-2020,4302,154,2164.0,1984.0,101.99782489994041,131618.0,790.0,3.579730357973036,3120.583383933137,18.36355183635518
2537,Pennsylvania,06-01-2020,76646,5567,48428.0,22651.0,598.7038420357961,462329.0,,7.263262270699058,3611.3841372617962,
2538,Rhode Island,06-01-2020,14991,720,1281.0,12990.0,1415.0983470224032,156835.0,1724.0,4.8028817290374235,14804.679424672044,11.500233473417385
2539,South Carolina,06-01-2020,12148,500,6459.0,5189.0,235.9424120275471,204688.0,1634.0,4.1159038524860065,3975.5169931753835,13.450773789924268
2540,South Dakota,06-01-2020,5034,62,3903.0,1069.0,569.0328137734426,45661.0,435.0,1.2316249503377037,5161.423780236227,8.64123957091776
2541,Tennessee,06-01-2020,22566,364,15564.0,6638.0,330.43527665278407,448493.0,1767.0,1.6130461756625012,6567.309604353322,7.830364264823184
2542,Texas,06-01-2020,65593,1683,43338.0,20572.0,226.2148889354319,970031.0,,2.5658225725306054,3345.4096462873467,
2543,Utah,06-01-2020,9999,113,6251.0,3635.0,311.88805343051905,218112.0,789.0,1.1301130113011302,6803.333044288166,7.890789078907892
2544,Vermont,06-01-2020,983,55,880.0,48.0,157.5348283383201,35326.0,,5.5951169888097665,5661.3177475884995,
2545,Virginia,06-01-2020,45398,1392,5899.0,38107.0,531.8715827356251,324719.0,7326.0,3.0662143706771223,3804.3263684375843,16.137274769813647
2546,Washington,06-01-2020,21977,1123,,20854.0,288.60549977524306,360899.0,3501.0,5.109887609773853,4739.3837313275435,15.930290758520274
2547,West Virginia,06-01-2020,2028,76,1313.0,639.0,113.16036017134756,98095.0,,3.7475345167652865,5473.602332844348,
2548,Wisconsin,06-01-2020,18543,595,11838.0,6110.0,318.47505699506434,272138.0,2603.0,3.2087580218950547,4673.95594351091,14.037642236962734
2549,Wyoming,06-01-2020,910,17,667.0,226.0,157.23297607467012,25147.0,86.0,1.868131868131868,4344.986427856846,9.450549450549449
2550,Alabama,06-02-2020,18766,653,9355.0,8758.0,382.73081680581083,223802.0,1879.0,3.479697324949377,4564.420881529048,10.012789086646062
2551,Alaska,06-02-2020,486,10,371.0,105.0,66.43473743925527,56203.0,,2.05761316872428,7682.780963577087,
2552,Arizona,06-02-2020,21264,943,4967.0,15354.0,292.139397643843,237833.0,3057.0,4.434725357411588,3267.5126674110293,14.376410835214449
2553,Arkansas,06-02-2020,7818,136,5401.0,2281.0,259.06255011922576,133236.0,718.0,1.7395753389613713,4414.998455830796,9.183934510104887
2554,California,06-02-2020,117215,4305,,112910.0,296.6550376069704,2071591.0,,3.6727381307853086,5242.911794661616,
2555,Colorado,06-02-2020,26774,1474,3954.0,21346.0,464.92841484659135,190537.0,4372.0,5.5053410024650775,3308.660094854149,16.32927466945544
2556,Connecticut,06-02-2020,42979,3972,7511.0,31496.0,1205.4850002257886,270610.0,13793.0,9.241722701784592,7590.1322950999465,32.09241722701785
2557,Delaware,06-02-2020,9685,373,5442.0,3870.0,994.5941727153603,64062.0,,3.851316468766133,6578.801434433805,
2558,Florida,06-02-2020,57447,2530,,54917.0,267.47231330749605,1049752.0,10678.0,4.404059393876095,4887.628524364555,18.587567671070726
2559,Georgia,06-02-2020,48207,2102,,46105.0,454.0367281213153,474287.0,8334.0,4.360362602941482,4467.063241240365,17.287945734022028
2560,Hawaii,06-02-2020,653,17,608.0,28.0,46.11998824752521,48921.0,83.0,2.603369065849924,3455.185214482665,12.710566615620214
2561,Idaho,06-02-2020,2933,83,2266.0,584.0,164.12385671478094,48133.0,247.0,2.8298670303443574,2693.410704143386,8.421411524036822
2562,Illinois,06-02-2020,122848,5525,,117323.0,969.4581386526843,934704.0,,4.497427715550924,7376.24055769096,
2563,Indiana,06-02-2020,35237,2197,22623.0,10417.0,523.4084036778958,271919.0,5902.0,6.234923517893122,4039.0694360952893,16.74943950960638
2564,Iowa,06-02-2020,20019,561,11742.0,7716.0,634.502562542194,163690.0,,2.8023377791098456,5188.157473526736,
2565,Kansas,06-02-2020,9965,222,555.0,9188.0,342.0503248190892,103312.0,862.0,2.2277972905168086,3546.2020228509527,8.650275965880581
2566,Kentucky,06-02-2020,10185,442,3275.0,6468.0,227.9710265276801,227271.0,2307.0,4.339715267550319,5087.010620517661,22.650957290132553
2567,Louisiana,06-02-2020,40746,2835,31728.0,6183.0,876.4853852418498,393133.0,,6.957738182889117,8456.666395628628,
2568,Maine,06-02-2020,2377,94,1646.0,637.0,176.83222586913377,52968.0,287.0,3.954564577198149,3940.449869514631,12.074042911232647
2569,Maryland,06-02-2020,54175,2597,3855.0,47723.0,896.0944012915007,315815.0,8957.0,4.793724042455007,5223.8127059321705,16.53345639132441
2570,Massachusetts,06-02-2020,101163,7085,,94078.0,1467.725150065223,609395.0,10063.0,7.003548728289987,8841.417987050569,9.947312752686257
2571,Michigan,06-02-2020,57731,5553,38099.0,14079.0,578.0697570817325,577268.0,,9.618749025653461,5780.277018084869,
2572,Minnesota,06-02-2020,25508,1082,20381.0,4045.0,452.29901525489606,258747.0,3134.0,4.241806492080916,4588.01212561387,12.286341539909046
2573,Mississippi,06-02-2020,16041,767,11203.0,4071.0,538.985111296511,179498.0,2296.0,4.781497412879497,6031.216851038036,14.313322112087775
2574,Missouri,06-02-2020,14015,786,,13229.0,228.35298434458213,205430.0,,5.608276846236175,3347.1675757336793,
2575,Montana,06-02-2020,523,17,462.0,44.0,48.93439049082223,42212.0,67.0,3.2504780114722758,3949.557344930377,12.810707456978967
2576,Nebraska,06-02-2020,14616,170,,14446.0,755.5800017369655,106418.0,,1.1631089217296111,5501.321334485796,
2577,Nevada,06-02-2020,8858,417,464.0,7977.0,287.5828367134652,152091.0,,4.707608941070219,4937.76938570644,
2578,New Hampshire,06-02-2020,4749,256,2954.0,1539.0,349.26539536710374,74344.0,456.0,5.390608549168245,5467.632460133073,9.602021478205938
2579,New Jersey,06-02-2020,161545,11771,26815.0,122959.0,1818.751906905842,817677.0,17390.0,7.286514593456931,9205.80397401992,10.764802377046644
2580,New Mexico,06-02-2020,8024,367,2888.0,4769.0,382.67307443763895,203115.0,1317.0,4.5737786640079765,9686.769879661146,16.413260219341975
2581,New York,06-02-2020,373040,29968,66262.0,276810.0,1917.592362652781,2167831.0,89861.0,8.033454857387946,11143.62044049416,24.08883765815998
2582,North Carolina,06-02-2020,30023,961,18860.0,10202.0,286.25819549118785,434921.0,,3.200879325850181,4146.810799760948,
2583,North Dakota,06-02-2020,2646,65,2127.0,454.0,347.21584333033275,73644.0,170.0,2.456538170823885,9663.780637270984,6.424792139077853
2584,Ohio,06-02-2020,36350,2259,,34091.0,310.9734710114551,409908.0,6176.0,6.214580467675378,3506.75415558084,16.990371389270976
2585,Oklahoma,06-02-2020,6692,339,5599.0,754.0,169.11925813962245,204657.0,994.0,5.065750149432159,5172.0621657323245,14.853556485355648
2586,Oregon,06-02-2020,4335,157,2164.0,2014.0,102.78023499331512,134209.0,795.0,3.6216839677047283,3182.0144309614366,18.33910034602076
2587,Pennsylvania,06-02-2020,77225,5667,48838.0,22720.0,603.2265767452228,472871.0,,7.338297183554548,3693.730716375401,
2588,Rhode Island,06-02-2020,15112,732,1302.0,13078.0,1426.5203268762964,159560.0,1743.0,4.8438327157226055,15061.909962703932,11.533880359978824
2589,South Carolina,06-02-2020,12415,501,6976.0,4938.0,241.1281729767861,218777.0,1789.0,4.035440998791784,4249.158139294589,14.40998791784132
2590,South Dakota,06-02-2020,5067,62,3990.0,1015.0,572.7630646384653,46846.0,443.0,1.2236037102822184,5295.373697662037,8.742845865403591
2591,Tennessee,06-02-2020,24342,381,15916.0,8045.0,356.4413500080683,462136.0,1792.0,1.565195957604141,6767.084862678854,7.361761564374333
2592,Texas,06-02-2020,67310,1716,44517.0,21077.0,232.13641965215683,986224.0,,2.5493983063437824,3401.255509360105,
2593,Utah,06-02-2020,10202,113,6319.0,3770.0,318.2200141112266,221791.0,801.0,1.1076259556949617,6918.088134654289,7.851401685943933
2594,Vermont,06-02-2020,988,55,879.0,54.0,158.33612451501546,36619.0,,5.566801619433198,5868.532938881936,
2595,Virginia,06-02-2020,46239,1407,6011.0,38821.0,541.7245278230886,328889.0,7373.0,3.0428858755595924,3853.181042652474,15.945414044421375
2596,Washington,06-02-2020,22157,1129,,21028.0,290.96928873458893,365272.0,3517.0,5.095455160897234,4796.810670878764,15.873087511847274
2597,West Virginia,06-02-2020,2056,78,1341.0,637.0,114.72273200803282,100543.0,,3.793774319066148,5610.198270565976,
2598,Wisconsin,06-02-2020,18917,607,12172.0,6138.0,324.8984874710473,282660.0,2643.0,3.2087540307659776,4854.670744228272,13.971559972511498
2599,Wyoming,06-02-2020,912,17,667.0,228.0,157.57854305505398,25742.0,86.0,1.8640350877192984,4447.792604521052,9.429824561403509
2600,Alabama,06-03-2020,18851,653,11395.0,6803.0,384.46438386477365,231594.0,1900.0,3.4640072144713807,4723.337993569486,10.079040899687019
2601,Alaska,06-03-2020,504,10,373.0,121.0,68.89528327033881,58182.0,,1.984126984126984,7953.30430800566,
2602,Arizona,06-03-2020,22356,983,5076.0,16297.0,307.14204165376947,244525.0,3129.0,4.397029880121668,3359.4519473692962,13.996242619431026
2603,Arkansas,06-03-2020,8067,142,5717.0,2208.0,267.31358298948504,142480.0,731.0,1.7602578405850997,4721.313909054398,9.06160902442048
2604,California,06-03-2020,119348,4374,,114974.0,302.0533671314824,2131294.0,,3.6649126922948017,5394.011873237302,
2605,Colorado,06-03-2020,27046,1494,3983.0,21569.0,469.6516735616983,194177.0,4419.0,5.523922206610958,3371.8684100121973,16.338830141240848
2606,Connecticut,06-03-2020,43091,3989,7511.0,31591.0,1208.6264023064625,276436.0,13793.0,9.257153465920958,7753.541299760722,32.00900420041308
2607,Delaware,06-03-2020,9712,375,5493.0,3844.0,997.3669184730593,64920.0,,3.8612026359143328,6666.913132956241,
2608,Florida,06-03-2020,58764,2566,,56198.0,273.6042442460302,1080913.0,10796.0,4.366619018446668,5032.713642037799,18.371792253760805
2609,Georgia,06-03-2020,48894,2123,,46771.0,460.5072247757295,482712.0,8419.0,4.342046058821123,4546.4139462089815,17.218881662371658
2610,Hawaii,06-03-2020,653,17,609.0,27.0,46.11998824752521,49508.0,83.0,2.603369065849924,3496.6437644080825,12.710566615620214
2611,Idaho,06-03-2020,2933,83,2282.0,568.0,164.12385671478094,48942.0,251.0,2.8298670303443574,2738.6804620984685,8.557790658029322
2612,Illinois,06-03-2020,123830,5621,,118209.0,977.2076168058244,959175.0,,4.539287733182589,7569.354080995936,
2613,Indiana,06-03-2020,35712,2207,23182.0,10323.0,530.4640267941372,277815.0,5952.0,6.1799955197132626,4126.6482863971005,16.666666666666668
2614,Iowa,06-03-2020,20300,574,12064.0,7662.0,643.408862560894,164445.0,,2.827586206896552,5212.0872120111435,
2615,Kansas,06-03-2020,10092,226,592.0,9274.0,346.4096214826139,108053.0,890.0,2.2393975426080064,3708.937656565685,8.818866428854538
2616,Kentucky,06-03-2020,10410,450,3283.0,6677.0,233.00720531695129,232199.0,2317.0,4.322766570605188,5197.314127511123,22.25744476464937
2617,Louisiana,06-03-2020,41133,2870,31728.0,6535.0,884.8101249485352,402087.0,,6.977366105073784,8649.275489514055,
2618,Maine,06-03-2020,2418,95,1699.0,624.0,179.88233998803761,53009.0,285.0,3.928866832092639,3943.499983633534,11.786600496277915
2619,Maryland,06-03-2020,54982,2641,3970.0,48371.0,909.4427756679147,327625.0,9111.0,4.803390200429232,5419.158804303238,16.57087774180641
2620,Massachusetts,06-03-2020,101592,7152,,94440.0,1473.9493040481811,617761.0,10151.0,7.0399244034963395,8962.79624397697,9.991928498306953
2621,Michigan,06-03-2020,58035,5570,38099.0,14366.0,581.1137578118921,593549.0,,9.597656586542604,5943.301280873452,
2622,Minnesota,06-03-2020,25870,1097,21169.0,3604.0,458.7178737903465,265718.0,3203.0,4.24043293390027,4711.619481554825,12.381136451488212
2623,Mississippi,06-03-2020,16322,782,11203.0,4337.0,548.4268428764823,184747.0,2340.0,4.791079524568068,6207.585708914438,14.336478372748436
2624,Missouri,06-03-2020,14189,791,,13398.0,231.18804815306999,211353.0,,5.5747409965466215,3443.6737995134117,
2625,Montana,06-03-2020,525,17,464.0,44.0,49.121520091169536,43448.0,68.0,3.238095238095238,4065.203437945018,12.952380952380953
2626,Nebraska,06-03-2020,14885,170,6743.0,7972.0,769.4860649873242,109966.0,851.0,1.1420893516963386,5684.736622263762,5.71716493113873
2627,Nevada,06-03-2020,8951,431,501.0,8019.0,290.6021643059637,156255.0,,4.815104457602502,5072.957343718955,
2628,New Hampshire,06-03-2020,4795,265,3071.0,1459.0,352.64846721104703,75739.0,462.0,5.526590198123045,5570.227791052657,9.635036496350363
2629,New Jersey,06-03-2020,162068,11880,27008.0,123180.0,1824.6400943911358,837420.0,17390.0,7.330256435570254,9428.080236968586,10.730063923785078
2630,New Mexico,06-03-2020,8140,375,2960.0,4805.0,388.2052375277145,206837.0,1416.0,4.606879606879606,9864.276009154775,17.395577395577394
2631,New York,06-03-2020,374085,30019,66502.0,277564.0,1922.964129806363,2229473.0,89995.0,8.024646804870551,11460.487876744006,24.057366641271372
2632,North Carolina,06-03-2020,31276,999,18860.0,11417.0,298.2050868395028,449263.0,,3.19414247346208,4283.556462743814,
2633,North Dakota,06-03-2020,2679,66,2169.0,444.0,351.54619965304664,74502.0,172.0,2.4636058230683093,9776.369901661545,6.420306084359836
2634,Ohio,06-03-2020,36792,2300,,34492.0,314.7547715392973,426105.0,6251.0,6.251358991085018,3645.319143475546,16.990106544901064
2635,Oklahoma,06-03-2020,6805,341,5711.0,753.0,171.97497783026458,208052.0,1003.0,5.011021307861866,5257.860115729936,14.739162380602494
2636,Oregon,06-03-2020,4399,159,2199.0,2041.0,104.2976363865267,136668.0,800.0,3.614457831325301,3240.3158376162382,18.185951352580133
2637,Pennsylvania,06-03-2020,77780,5742,49915.0,22123.0,607.5618405858653,475391.0,,7.382360503985599,3713.4151575977758,
2638,Rhode Island,06-03-2020,15219,742,1311.0,13166.0,1436.6207553421357,162540.0,1753.0,4.875484591628885,15343.211615303942,11.518496616072015
2639,South Carolina,06-03-2020,12415,501,6976.0,4938.0,241.1281729767861,222925.0,1789.0,4.035440998791784,4329.721946101493,14.40998791784132
2640,South Dakota,06-03-2020,5162,62,4084.0,1016.0,583.5016656135302,48662.0,456.0,1.2010848508330103,5500.650533143279,8.833785354513754
2641,Tennessee,06-03-2020,24833,388,16319.0,8126.0,363.6310921350079,470779.0,1829.0,1.5624370796923448,6893.6448243960385,7.365199532879636
2642,Texas,06-03-2020,68877,1744,45858.0,21275.0,237.54063551302337,1006768.0,,2.5320498860287177,3472.1069520184615,
2643,Utah,06-03-2020,10497,117,6501.0,3879.0,327.4216318492008,223981.0,829.0,1.1146041726207487,6986.3984493870485,7.8974945222444495
2644,Vermont,06-03-2020,990,55,879.0,56.0,158.65664298569362,37195.0,,5.5555555555555545,5960.842258437248,
2645,Virginia,06-03-2020,46905,1428,6165.0,39312.0,549.5272167984161,342387.0,7476.0,3.0444515510073558,4011.3202255188003,15.938599296450274
2646,Washington,06-03-2020,22484,1135,,21349.0,295.2635053440672,368799.0,3543.0,5.048034157623198,4843.127802321057,15.757872264721579
2647,West Virginia,06-03-2020,2077,78,1381.0,618.0,115.89451088554678,103768.0,,3.755416466056813,5790.150026755618,
2648,Wisconsin,06-03-2020,19400,616,12172.0,6612.0,333.19398725687574,299111.0,2700.0,3.1752577319587627,5137.215810432545,13.917525773195875
2649,Wyoming,06-03-2020,915,17,714.0,184.0,158.09689352562984,26628.0,87.0,1.85792349726776,4600.878776831116,9.508196721311476
2650,Alabama,06-04-2020,19072,653,11395.0,7024.0,388.97165821807664,235299.0,1929.0,3.4238674496644297,4798.901122433684,10.114303691275168
2651,Alaska,06-04-2020,512,10,376.0,126.0,69.98885919526482,60097.0,,1.953125,8215.079045034823,
2652,Arizona,06-04-2020,22886,999,5172.0,16715.0,314.4235446988804,249755.0,3195.0,4.365114043520056,3431.30526987105,13.960499868915493
2653,Arkansas,06-04-2020,8425,151,5717.0,2557.0,279.1765137828699,142480.0,757.0,1.7922848664688429,4721.313909054398,8.985163204747773
2654,California,06-04-2020,122168,4444,,117724.0,309.1903991329468,2182671.0,,3.6376137777486734,5524.039991371784,
2655,Colorado,06-04-2020,27346,1512,4014.0,21820.0,474.8611500857132,197200.0,4443.0,5.5291450303517875,3424.362568452521,16.24734878958531
2656,Connecticut,06-04-2020,43239,4007,7284.0,31948.0,1212.7775407702102,281525.0,9669.0,9.267096833876824,7896.278756801346,22.361756747380838
2657,Delaware,06-04-2020,9746,386,5562.0,3798.0,1000.8585242420136,65909.0,,3.9605992201929,6768.477783117881,
2658,Florida,06-04-2020,60183,2607,,57576.0,280.2110855533802,1107043.0,10923.0,4.331788046458303,5154.374504166804,18.14964358705947
2659,Georgia,06-04-2020,49859,2149,,47710.0,469.59605923207545,496331.0,8557.0,4.310154636073729,4674.6842430597335,17.162397962253554
2660,Hawaii,06-04-2020,655,17,612.0,26.0,46.26124395425576,50638.0,83.0,2.595419847328244,3576.4532387108443,12.67175572519084
2661,Idaho,06-04-2020,2990,83,2311.0,596.0,167.31344411087454,49805.0,253.0,2.7759197324414715,2786.9719344287982,8.461538461538463
2662,Illinois,06-04-2020,124759,5736,,119023.0,984.538844101412,982016.0,,4.5976642967641626,7749.6044175497755,
2663,Indiana,06-04-2020,36096,2231,23707.0,10158.0,536.1679410607409,285234.0,5999.0,6.18074024822695,4236.84969250109,16.619570035460992
2664,Iowa,06-04-2020,20806,583,12333.0,7890.0,659.4465415981261,174935.0,,2.802076324137268,5544.567949364039,
2665,Kansas,06-04-2020,10167,227,592.0,9348.0,348.9840092760341,108053.0,890.0,2.2327136815186392,3708.937656565685,8.753811350447526
2666,Kentucky,06-04-2020,10705,458,3303.0,6944.0,239.61019528510704,235925.0,2332.0,4.27837459131247,5280.713248261455,21.784212984586638
2667,Louisiana,06-04-2020,41562,2883,31728.0,6951.0,894.0383247784264,411186.0,,6.93662480150137,8845.003671920073,
2668,Maine,06-04-2020,2446,95,1739.0,612.0,181.96534475216703,56201.0,291.0,3.8838920686835645,4180.962526744293,11.896974652493867
2669,Maryland,06-04-2020,55858,2668,3985.0,49205.0,923.9324608646173,337018.0,9217.0,4.776397293136167,5574.525942491167,16.50076980915894
2670,Massachusetts,06-04-2020,102063,7201,,94862.0,1480.7828157637366,624935.0,10238.0,7.055446146007857,9066.880348111563,10.031059247719543
2671,Michigan,06-04-2020,58241,5595,38099.0,14547.0,583.1764688329872,608983.0,,9.606634501468037,6097.844396890832,
2672,Minnesota,06-04-2020,26273,1126,21490.0,3657.0,465.86373011572397,275622.0,3253.0,4.285768659840901,4887.233776955661,12.381532371636279
2673,Mississippi,06-04-2020,16560,794,11203.0,4563.0,556.4237543214402,184985.0,2340.0,4.794685990338166,6215.582620359397,14.130434782608695
2674,Missouri,06-04-2020,14438,795,,13643.0,235.2451222238371,218661.0,,5.506302812023826,3562.7464794699017,
2675,Montana,06-04-2020,539,17,467.0,55.0,50.431427293600734,44642.0,68.0,3.1539888682745825,4176.919809352364,12.61595547309833
2676,Nebraska,06-04-2020,15139,187,7005.0,7947.0,782.6166972014177,112255.0,902.0,1.23522029196116,5803.067398397857,5.958121408283242
2677,Nevada,06-04-2020,9129,430,512.0,8187.0,296.3810923862298,161423.0,,4.710263993865703,5240.741053375219,
2678,New Hampshire,06-04-2020,4876,273,3157.0,1446.0,358.6056154579907,75965.0,468.0,5.598851517637407,5586.8489701120325,9.598031173092698
2679,New Jersey,06-04-2020,162530,11970,27231.0,123329.0,1829.8415143112231,857729.0,17604.0,7.364794191841506,9656.728802243593,10.831231157324801
2680,New Mexico,06-04-2020,8353,383,3013.0,4957.0,398.36343354656015,212996.0,1416.0,4.585178977612832,10158.005254601114,16.95199329582186
2681,New York,06-04-2020,375133,30174,66756.0,278203.0,1928.3513183010557,2293032.0,89995.0,8.043547221918626,11787.209549963627,23.990158157240227
2682,North Carolina,06-04-2020,32075,1006,18860.0,12209.0,305.8232561829215,468302.0,,3.1363990646921276,4465.086282680421,
2683,North Dakota,06-04-2020,2706,66,2209.0,431.0,355.0892184625398,75744.0,175.0,2.4390243902439024,9939.34876689823,6.467110125646711
2684,Ohio,06-04-2020,37282,2340,,34942.0,318.9467110384888,437251.0,6312.0,6.276487312912398,3740.672934614299,16.930422187650876
2685,Oklahoma,06-04-2020,6907,344,5781.0,782.0,174.5527071085434,211722.0,1014.0,4.9804546112639345,5350.607826036633,14.680758650644275
2686,Oregon,06-04-2020,4474,159,2199.0,2116.0,106.07584114419652,139312.0,812.0,3.553866785873938,3303.0034826732917,18.149307107733573
2687,Pennsylvania,06-04-2020,78335,5832,51019.0,21484.0,611.8971044265073,491502.0,,7.444947979830216,3839.262789555592,
2688,Rhode Island,06-04-2020,15325,756,1326.0,13243.0,1446.6267872802564,165923.0,1765.0,4.933115823817292,15662.555068574358,11.517128874388256
2689,South Carolina,06-04-2020,12415,501,6976.0,4938.0,241.1281729767861,230851.0,1789.0,4.035440998791784,4483.663299223846,14.40998791784132
2690,South Dakota,06-04-2020,5247,64,4163.0,1020.0,593.1098875385883,52622.0,464.0,1.219744615971031,5948.280636945988,8.843148465789975
2691,Tennessee,06-04-2020,25190,401,16643.0,8146.0,368.8586643128437,476138.0,1855.0,1.591901548233426,6972.116979300864,7.364033346566098
2692,Texas,06-04-2020,70555,1776,46799.0,21980.0,243.32766436722508,1038555.0,,2.5171851746864147,3581.7328675062504,
2693,Utah,06-04-2020,10813,117,6628.0,4068.0,337.2782800024205,227507.0,850.0,1.0820308887450292,7096.381175299241,7.860908166096365
2694,Vermont,06-04-2020,1026,55,881.0,90.0,164.4259754579007,37834.0,,5.360623781676413,6063.247909818923,
2695,Virginia,06-04-2020,47856,1445,6284.0,40127.0,560.6688942992218,353590.0,7550.0,3.019475091942494,4142.571763943119,15.776496155132065
2696,Washington,06-04-2020,22729,1138,,21591.0,298.4808847609546,377327.0,3578.0,5.006819481719389,4955.11887035051,15.742003607725813
2697,West Virginia,06-04-2020,2102,79,1399.0,624.0,117.28948573973005,106049.0,,3.7583254043767838,5917.4275324513,
2698,Wisconsin,06-04-2020,19892,626,12980.0,6286.0,341.6440615728749,311259.0,2739.0,3.1469937663382264,5345.857076267415,13.76935451437764
2699,Wyoming,06-04-2020,921,17,714.0,190.0,159.13359446678155,26989.0,87.0,1.8458197611292075,4663.253616790408,9.446254071661238
